ชื่อ,ติดอันดับการจัดที่ดีที่สุด,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาล,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,ค่าบริการทางการแพทย์,จำนวนครั้งในการเคลม,อัตราการเข้าเคลมIPD,อัตราการเข้าเคลมOPD,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 12,กลุ่มที่ 15,กลุ่มที่ 16,กลุ่มที่ 19,กลุ่มที่ 21
บางโพ,None,None,Private,100,3700,9,155,50,1645,0.13191489361702127,0.8680851063829788,9702.911517857143,72945.0,13387.0,4714.939714285714,21605.8125,4175.763686746988,1980.501096774194,82411.0,0.0,2381.6666666666665,2173.6875
บางไผ่,None,None,Private,100,3530,9,8,100,186,0.03225806451612903,0.967741935483871,5722.625,0.0,0.0,0.0,2286.632857142857,1141.6648387096773,1376.295,0.0,0.0,541.0,0.0
บางนา 1,None,None,Private,101,2700,7,84,100,251,0.035856573705179286,0.9641434262948207,991.9473684210526,0.0,0.0,1377.7142857142858,24262.0,924.04,789.8275862068965,0.0,0.0,0.0,0.0
บางปะกอก 1,None,BHGRT,Private,120,3200,7,171,100,1827,0.06896551724137931,0.9310344827586207,7278.642937062938,57975.333333333336,1289.98,2949.8026785714287,2559.4491525423728,2705.70260034904,1760.4868421052631,0.0,0.0,1075.6666666666667,0.0
บางปะกอก 8,None,BHGRT,Private,200,3200,9,219,80,308,0.12987012987012986,0.8701298701298701,3869.5151515151515,0.0,818.0,4429.65625,5007.523809523809,2254.5135135135133,834.4285714285714,0.0,0.0,1500.0,0.0
บางปะกอก 9 อินเตอร์เนชั่นแนล,Top,BHGRT,Private,120,3200,7,285,120,1704,0.06396713615023474,0.9360328638497653,4638.349316239316,2201.25,4126.0,2442.580508474576,16818.653773584905,3324.41891509434,2116.3291139240505,0.0,0.0,2232.75,871.6666666666666
บางมด,None,None,Private,203,4000,9,71,200,283,0.07773851590106007,0.9222614840989399,1311.9444444444443,1832.75,1750.0,1092.0,2738.3214285714284,1552.4871794871794,5856.555555555556,0.0,0.0,925.0,0.0
บ้านแพ้วสาขาสาทร,None,None,Public,54,2300,6,47,50,46,0.21739130434782608,0.782608695652174,0.0,0.0,0.0,0.0,3000.0,313.0,0.0,0.0,0.0,0.0,2125.0
บำรุงราษฎร์,Top,BH,Private,580,11492,9,1133,300,2419,0.07317073170731707,0.926829268292683,77402.2190909091,14563.901900826446,36536.47483870968,2522.8560843373493,25819.571130434782,5430.098103448277,3558.174478527607,59150.5,1320.0,46834.49105263158,3701.0857142857144
บีเอ็นเอช : BDMS,None,BDMS,Private,86,8800,9,291,350,2097,0.05484024797329518,0.9451597520267048,7554.314926470589,9963.988000000001,12475.78947368421,1999.4236842105265,18301.972222222223,3947.292156862745,2035.1926288659793,76385.0,13992.2,5652.081739130435,6237.423658536585
บีแคร์เมดิคอลเซ็นเตอร์,None,None,Private,136,4330,5,145,80,3095,0.0617124394184168,0.9382875605815832,4775.646911764707,37984.848,60581.0,1329.0313846153847,6286.019567307692,2692.418990929705,1987.1590049751244,0.0,0.0,1113.923076923077,1188.25
บุญญาเวช,None,None,Private,29,2900,2,8,120,43,0.09302325581395349,0.9069767441860465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ปิยะเวท,None,BHGRT,Private,150,5760,9,243,150,1004,0.04880478087649402,0.951195219123506,7049.050847457627,16046.9375,1336.0220000000002,1260.9375,1711.1814634146342,1845.5803896103898,1536.109411764706,0.0,0.0,3180.8888888888887,23333.0
พญาไท 1 : BDMS,Top,BDMS,Private,174,4800,9,245,150,2873,0.06648103028193526,0.9335189697180647,10391.077181208053,38882.19696969697,25827.125,2085.2670454545455,20610.481707317074,5799.679104477612,2505.93661971831,0.0,0.0,2318.6,2475.0
พญาไท 2 : BDMS,Top,BDMS,Private,260,6687,9,535,180,8289,0.07105802871275184,0.929183254916154,6936.915319587629,27481.80991735537,12327.223015873016,3000.53305785124,9280.46511627907,3695.271394374626,2245.1026656848308,107852.2,14902.75,5783.541666666667,2919.8650442477874
พญาไท 3 : BDMS,None,BDMS,Private,230,6200,9,412,150,4412,0.09791477787851315,0.9020852221214869,10889.847832817337,3372.404761904762,7213.4047619047615,3101.329457364341,15320.297872340425,4461.405240174672,1959.8522727272727,65280.5,0.0,18163.625,3162.4615384615386
พญาไท นวมินทร์ : BDMS,None,BDMS,Private,140,4100,9,57,80,2573,0.061795569374271275,0.9382044306257287,6745.091954022989,11188.086666666666,824.625,3530.5685840707965,3515.752,3201.7976391231027,1631.6274509803923,0.0,0.0,2294.3478260869565,1372.0
พระมงกุฎเกล้า,Top,None,Public,953,2000,9,249,50,738,0.14363143631436315,0.8563685636856369,11986.166666666666,12946.004237288136,1597.18,1401.1,10111.31649484536,3996.212142857143,1681.7,0.0,0.0,56067.583333333336,1027.7777777777778
พระรามเก้า,Top,None,Private,166,7950,9,340,250,8186,0.04361104324456389,0.9563889567554361,5939.503863987636,21189.705263157895,8393.107142857143,2375.775956284153,4112.478260869565,2418.9035850081477,1681.0221774193549,0.0,0.0,4904.811320754717,2001.2142857142858
ภูมิพลอดุลยเดช กรมแพทย์ทหารอากาศ,None,None,Private,619,2000,9,221,50,254,0.08661417322834646,0.9133858267716536,1933.5,1782.7105263157894,6447.083333333333,1491.0,9275.85294117647,1027.3,1093.3125,0.0,0.0,12699.5,755.0
มงกุฎวัฒนะ,None,None,Private,100,4000,8,411,75,4011,0.06556968337073049,0.9344303166292696,3840.9940148698884,13753.748367346938,5147.172666666666,2154.9352,4605.71905737705,2275.2968838219326,1190.23462585034,0.0,0.0,896.993125,674.4
มิชชั่น,None,None,Private,120,4000,6,107,150,705,0.06666666666666667,0.9333333333333333,2782.3333333333335,28273.0,0.0,1541.1538461538462,12673.692307692309,10519.740458015267,951.6301369863014,0.0,0.0,5216.142857142857,894.1428571428571
มิตรประชา,None,None,Private,148,1800,9,55,120,76,0.06578947368421052,0.9342105263157895,1852.3,0.0,0.0,0.0,1066.0,9951.533333333333,1002.8,0.0,0.0,0.0,1000.0
รัชดา-ท่าพระ,None,None,Public,25,4000,8,10,100,40,0.1,0.9,928.0,5285.0,0.0,0.0,1300.0,1493.75,556.3333333333334,0.0,0.0,920.0,0.0
ราชวิถี,Top,None,Private,1031,4300,9,347,100,250,0.324,0.676,3633.3333333333335,23653.973684210527,981.0,260.0,6220.142857142857,4989.583333333333,300.0,0.0,0.0,5817.166666666667,0.0
รามคำแหง,Top,RAM,Public,486,3500,9,327,80,6332,0.07943777637397346,0.9205622236260266,7539.862697368422,21962.847966101694,1506.471052631579,3884.7439035087723,8934.306823204419,3997.0553468697126,2614.0974662162166,41426.75,18213.5,4102.379166666667,2667.0851851851853
รามาธิบดี,Top,None,Private,1378,1000,9,1041,100,6028,0.15378234903782348,0.8465494359654944,19259.947368421053,26826.70481986368,8979.039802955665,1679.3842592592594,23863.307730061348,8295.888621794871,2324.135714285714,44202.65,675.0,19673.0,3035.5695652173913
ราษฎร์บูรณะ,None,None,Public,124,3950,9,46,200,575,0.11826086956521739,0.8817391304347826,5658.642857142857,32440.0,850.0,4083.1111111111113,4341.242424242424,5776.379746835443,4805.090909090909,0.0,0.0,1727.5,0.0
ลาดพร้าว,None,None,Private,180,4700,8,206,200,8256,0.06286337209302326,0.9372577519379846,6319.916856540083,10117.049714285715,4041.5561538461543,1524.5846096654275,2521.057140974967,2783.0573787680205,1459.7879601990048,38114.125,7191.0,2868.9123684210526,2825.398275862069
วชิรพยาบาล,Top,None,Public,740,2400,9,341,50,251,0.450199203187251,0.5577689243027888,16656.0,16350.875,133846.0,875.2222222222222,10773.25,25248.58695652174,190.0,0.0,0.0,45832.25,0.0
วิชัยเวช แยกไฟฉาย,None,Vichaivej,Private,49,3250,9,7,110,202,0.09900990099009901,0.900990099009901,848.6666666666666,0.0,0.0,936.6666666666666,0.0,1155.7878787878788,888.75,0.0,0.0,710.0,0.0
วิชัยเวชอินเตอร์เนชั่นแนลหนองแขม(ศรีวิชัย2),None,Vichaivej,Private,172,4200,8,137,80,646,0.12229102167182662,0.8792569659442725,7042.282608695652,2020.0,1240.0,11737.333333333334,20073.75,4565.361842105263,1055.6153846153845,0.0,0.0,2607.0,665.0
วิชัยยุทธ,None,None,Private,207,5500,9,716,250,4016,0.07395418326693227,0.9267928286852589,10691.110659898479,28621.396666666667,6626.086981132075,2742.0414736842104,13544.857485380116,3808.6792348993285,2356.6446020761246,121460.85,0.0,9745.22380952381,3919.5758620689653
วิภาราม,None,VIBHA,Private,150,2200,9,272,100,4669,0.05482972799314628,0.9451702720068537,4089.262987012987,9230.358974358975,32408.45,1405.5,5252.498194945849,3233.57684729064,1764.9262536873157,0.0,0.0,1253.125,986.6
วิภาวดี,None,None,Private,258,4360,8,417,80,8769,0.09191469950963622,0.9080853004903637,9122.581395348838,11763.594594594595,9224.310344827587,3895.4423076923076,4457.946712328767,4672.388574369532,1986.4601063829787,55952.57142857143,3266.75,3868.8064516129034,2863.6083916083917
วิมุต,None,None,Private,236,5900,7,232,150,266,0.041353383458646614,0.9586466165413534,8956.182857142858,0.0,0.0,1508.3333333333333,2116.0,912.020625,1347.3333333333333,0.0,0.0,0.0,4998.0
ศิครินทร์,None,None,Private,258,5100,9,348,120,7032,0.08176905574516496,0.9182309442548351,7979.404913043477,22025.80847457627,3492.672,2959.337904191617,4455.712044673539,3711.878502604168,1811.8991789473675,23565.5625,0.0,6468.733404255318,5576.552380952381
ศิริราช ปิยมหาราชการุณย์,Top,None,Private,0,6700,9,615,180,6520,0.22162576687116564,0.778680981595092,11175.995117647059,56939.71593927894,68514.00724637682,8398.93043478261,43819.039106145254,9326.330672748005,2517.133333333333,0.0,0.0,33278.969696969696,4034.64
ศิริราชพยาบาล,None,None,Public,2112,1000,9,2263,130,2857,0.23731186559327966,0.7633881694084704,8550.010204081633,20935.99628440367,5352.982394366197,752.7142857142857,20453.114238410595,6933.655555555555,63280.063888888886,50576.75,0.0,23292.775,3905.75
สมเด็จพระปิ่นเกล้า กรมแพทย์ทหารเรือ กองทัพเรือ,None,None,Public,414,2200,0,173,150,94,0.24468085106382978,0.7553191489361702,4850.0,0.0,0.0,0.0,2083.1785714285716,689.9852941176471,368.0,0.0,0.0,31650.0,0.0
สมิติเวชไชน่าทาวน์ : BDMS,None,BDMS,Private,31,6190,6,85,300,167,0.11976047904191617,0.8802395209580839,4130.099,750.0,0.0,5747.01,2200.4558333333334,1694.2283333333335,3040.9814285714283,0.0,0.0,16025.115,1040.75
สมิติเวชธนบุรี : BDMS,None,BDMS,Private,150,6190,8,256,300,1748,0.041762013729977114,0.9582379862700229,12861.80992248062,3892.805,1548.466,1410.1724137931035,1621.5334782608697,2911.833758542142,1601.3147692307693,52845.0,0.0,3765.1114285714284,925.0
สมิติเวชศรีนครินทร์ : BDMS,Top,BDMS,Private,154,7255,9,8,200,3495,0.06523605150214593,0.9353361945636623,11701.333520000004,17353.283636363638,6581.584545454545,3312.1759036144576,7160.557770700638,3732.3847441860485,2381.967336065574,86374.8,55906.355,2270.2614583333334,8519.058181818182
สมิติเวชสุขุมวิท : BDMS,Top,BDMS,Private,275,9000,7,571,300,3120,0.06955128205128205,0.9307692307692308,17052.59606936416,108875.32375000001,2021.748378378378,3393.3982258064516,19237.38007874016,4596.938156028367,2120.056607142857,116544.81,16875.0,1724.319375,3272.009428571428
สวนเบญจกิตติ เฉลิมพระเกียรติ 84 พรรษา,None,None,Public,60,1400,7,45,30,119,0.09243697478991597,0.907563025210084,6860.0,0.0,0.0,0.0,2241.285714285714,992.6363636363636,1457.28125,0.0,0.0,0.0,0.0
สหวิทยาการมะลิ,None,None,Private,19,4800,6,10,150,30,0.03333333333333333,0.9666666666666667,0.0,0.0,0.0,4500.0,799.1666666666666,523.8333333333334,2403.0833333333335,0.0,0.0,0.0,0.0
สินแพทย์  ศรีนครินทร์,None,VIBHA,Private,110,2800,9,21,100,3117,0.11894273127753303,0.8810572687224669,10554.622680851064,24948.666666666668,3299.8571428571427,4244.029814814815,7312.451587301587,5141.067320574162,2779.0510204081634,0.0,0.0,4804.62962962963,877.6666666666666
สินแพทย์ เสรีรักษ์,None,VIBHA,Private,238,4050,9,231,100,4696,0.1260827718960539,0.8739172281039461,11027.24635568513,14608.741935483871,3109.9285714285716,4944.093714285715,11382.657070707071,4926.335681669928,2559.338905775076,46005.0,1841.2307692307693,2985.2916666666665,1341.9444444444443
สินแพทย์ รามอินทรา,None,VIBHA,Private,287,3100,9,258,150,227,0.1247870528109029,0.8752129471890971,18138.5,0.0,2144.0,584.2857142857143,1368.3333333333333,2444.08,3708.6363636363635,0.0,0.0,600.0,1594.0
สิรินาถบึงกุ่ม (วิภาราม นวมินทร์),None,VIBHA,Private,52,3440,4,5,510,354,0.0847457627118644,0.9152542372881356,10131.142857142857,0.0,3922.0,5231.666666666667,4467.551724137931,1617.3610714285714,1459.6315789473683,0.0,0.0,1530.5,3426.0
สุขสวัสดิ์,None,None,Private,100,4200,8,49,50,30,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,1145.0,0.0,0.0,0.0,0.0,0.0
สุขุมวิท,None,RAM,Private,135,2760,8,46,170,2130,0.06619718309859154,0.9342723004694836,5739.838323353293,23812.85,13862.0,2010.6938775510205,20023.556944444445,3440.684297520661,2308.5247933884298,0.0,892.0,5544.7692307692305,3205.8888888888887
หัวเฉียว,None,None,Private,338,3300,6,391,50,4066,0.03787506148548942,0.9621249385145105,2156.8662361623615,14378.476744186046,30780.733125,989.6138888888889,2720.481049562682,1626.0593914473684,2050.2450236966824,81514.25,0.0,5127.857142857143,1983.3157894736842
อินทรารัตน์,None,None,Private,152,3800,8,21,150,123,0.04065040650406504,0.959349593495935,0.0,0.0,0.0,0.0,0.0,1100.0,1455.5,0.0,0.0,0.0,0.0
