ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 14,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 20
บางปะกอก 8,None,BHGRT,Private,200,3200,9,219,0.1298701298701299,0.8701298701298701,308,3869.515151515152,1896.729166666667,900.0,1045.947916666667,2254.513513513513,2605.316666666667,2763.041666666666,0.0,2965.6,2407.985576923077
บางปะกอก 9 อินเตอร์เนชั่นแนล,Top,BHGRT,Private,120,3200,7,285,0.06396713615023474,0.9360328638497653,1704,4638.349316239316,2489.398305084746,1545.55,1482.342105263158,3324.41891509434,6418.745094339622,7858.805882352941,0.0,5604.34633027523,3682.736263736264
บางมด,None,None,Private,203,4000,9,71,0.07773851590106008,0.92226148409894,283,1311.944444444444,1467.952380952381,450.0,7817.905192307691,1552.48717948718,2053.15,1389.4,0.0,899.25,11411.68181818182
บ้านแพ้วสาขาสาทร,None,None,Public,54,2300,6,47,0.2173913043478261,0.7826086956521741,46,0.0,1810.909090909091,10754.0,17259.10526315789,313.0,600.0,0.0,0.0,0.0,0.0
บีแคร์เมดิคอลเซ็นเตอร์,None,None,Private,136,4330,5,145,0.0617124394184168,0.9382875605815832,3095,4775.646911764707,1967.39093922652,1263.715625,5798.239082568809,2692.418990929705,6913.994029126215,3803.948418079096,0.0,3075.875693430657,2990.880775862069
บุญญาเวช,None,None,Private,29,2900,8,8,0.09302325581395347,0.9069767441860463,43,0.0,18061.8,0.0,4656.214482758621,0.0,900.0,0.0,0.0,0.0,2640.0
พญาไท นวมินทร์ : BDMS,None,BDMS,Private,140,4100,9,57,0.06179556937427128,0.9382044306257288,2573,6745.09195402299,2691.196581196581,3138.153846153846,2634.710084033613,3201.797639123103,6988.897058823531,4371.988505747127,0.0,5520.825949367088,3275.768253968254
พระรามเก้า,Top,None,Private,166,7950,9,340,0.04361104324456389,0.956388956755436,8186,5939.503863987636,2751.449675324675,3073.111111111111,2482.416426512968,2418.903585008148,5782.044444444445,5142.04375,0.0,5235.68058968059,2371.603015075377
ภูมิพลอดุลยเดช กรมแพทย์ทหารอากาศ,None,None,Private,619,2000,9,221,0.08661417322834647,0.9133858267716536,254,1933.5,1220.727272727273,1166.767857142857,3996.525,1027.3,2102.880952380952,2640.0,0.0,1558.666666666667,6034.633333333332
มงกุฎวัฒนะ,None,None,Private,100,4000,8,411,0.06556968337073049,0.9344303166292696,4011,3840.994014869888,2271.04934065934,4603.988108108109,2596.111571428572,2275.296883821933,5128.172118959107,7291.182611940299,0.0,4432.408586572437,2317.505820224719
มิชชั่น,None,None,Private,120,4000,6,107,0.06666666666666668,0.9333333333333332,705,2782.333333333333,1592.104651162791,1200.0,12040.46153846154,10519.74045801527,9504.9,11481.53125,0.0,3306.0,5071.13888888889
มิตรประชา,None,None,Private,148,1800,9,55,0.06578947368421052,0.9342105263157896,76,1852.3,1000.0,950.0,1232.0,9951.533333333333,1143.333333333333,890.0,0.0,1243.333333333333,2835.5
รัชดา-ท่าพระ,None,None,Public,25,4000,8,10,0.1,0.9,40,928.0,0.0,0.0,650.0,1493.75,3609.0,675.0,0.0,653.3333333333334,0.0
ราชวิถี,Top,None,Private,1031,4300,9,347,0.324,0.6759999999999999,250,3633.333333333334,1228.939393939394,3940.0,10342.53333333333,4989.583333333333,10466.84782608696,2182.294117647059,0.0,4725.727272727273,780.0
รามคำแหง,Top,RAM,Public,486,3500,9,327,0.07943777637397346,0.9205622236260266,6332,7539.862697368421,3057.413321678322,4839.488131868132,3206.788384615385,3997.055346869713,8995.05429906542,5041.500483870968,1250.0,5251.019877675841,3600.706040462427
