ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 14,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 20
จุฬาลงกรณ์,Top,None,Public,1485,3500,9,435,0.14882577826324414,0.8511742217367558,3662,6826.422535211268,2670.9801699716713,7376.163636363636,9815.628391167193,7763.614840989399,12344.07003257329,7005.161691542288,9512.333333333334,4704.467153284671,14055.190476190477
ซีจีเอชพหลโยธิน,Top,None,Private,120,4430,8,384,0.0935672514619883,0.9064327485380117,1881,6822.961538461538,3598.5581395348836,2557.3333333333335,3237.0,3523.4820788530465,4205.821138211382,2146.7021276595747,0.0,5746.459459459459,2064.285714285714
ซีจีเอชสายไหม,None,None,Private,100,3890,8,384,0.06381798002219756,0.9361820199778025,1802,3893.4201680672268,1446.4158415841584,8629.142857142857,2223.6,2866.0979782270606,3263.2815533980583,3444.6923076923076,0.0,2412.0975609756097,5932.027932960894
ตำรวจ,None,None,Public,485,1600,8,363,0.3131868131868132,0.6868131868131868,182,2353.0,6986.95,8210.5,7866.777777777777,60613.75,13869.764705882353,13950.1,0.0,15039.8,50256.28571428572
ทหารผ่านศึก,None,None,Public,277,1500,9,101,0.20754716981132076,0.7924528301886793,53,0.0,427.5,0.0,2488.0,3441.8125,3505.5,0.0,0.0,4120.0,2559.375
ธนบุรี 1,Top,THG,Private,435,5620,9,625,0.0861169102296451,0.9138830897703549,3832,7858.772368421052,3212.117528089888,8920.92808219178,4378.570512820513,2887.4408695652173,11714.693298969072,5164.702272727272,0.0,5804.170861244019,11251.391420118343
ธนบุรี 2,None,THG,Private,95,5350,9,222,0.07747196738022426,0.9225280326197758,2943,7182.475863636363,3373.9851485148515,1446.6315789473683,2918.438783783784,2921.614889807162,11384.77279329609,9149.162162162162,0.0,3164.495503355705,3740.669930875576
ธนบุรี บำรุงเมือง,None,THG,Private,1400,5620,8,86,0.08,0.92,75,3056.6666666666665,0.0,0.0,2650.0,2966.2413793103447,22776.636363636364,0.0,0.0,17295.3,15734.857142857143
นครธน,None,None,Private,150,4500,8,60,0.06497277676950998,0.9357531760435571,2755,8190.676865671643,1862.676470588235,6607.1876923076925,2575.198721804511,2402.1094770408163,7385.462993630573,11361.28202247191,0.0,3365.666126126126,3816.133881118881
นพรัตนราชธานี,None,None,Public,609,1400,9,128,0.1590909090909091,0.8409090909090909,88,0.0,1692.3076923076924,0.0,3183.777777777778,2585.0,1359.8333333333333,4340.0,0.0,1591.642857142857,778.0
