ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,ค่าบริการทางการแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 2,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 13,กลุ่มที่ 16,กลุ่มที่ 18
จุฬาลงกรณ์,Top,None,Public,1485,3500,9,435,20,0.29867345571486,0.7013265442851401,13673,2627.344854132901,1100.1820303383897,2836.986013986014,3303.1360934182594,1038.1666666666667,3222.64875491481,2702.4637146371465,4155.295504385965,3676.9872306464486,0.0,1727.9142091152814
ซีจีเอชพหลโยธิน,Top,None,Private,120,4430,8,384,150,0.14561664190193166,0.8543833580980683,8260,754.8661446681581,1218.4094488188975,590.1538461538462,935.8151658767772,599.1698113207547,929.6692913385826,906.8740774907749,1159.9013452914799,687.6237218813906,0.0,1544.4479418886199
ซีจีเอชสายไหม,None,None,Private,100,3890,8,384,50,0.13697864251369787,0.8630213574863022,8368,950.9913240286684,490.2281879194631,1725.8285714285714,567.2448979591836,402.3875,3228.7738693467336,756.5275041050903,1091.2922077922078,421.0886956521739,0.0,595.7590361445783
ตากสิน,None,None,Public,418,1800,9,197,50,0.13559322033898305,0.864406779661017,48,1714.875,9070.0,4048.75,0.0,0.0,0.0,137.5,0.0,1859.090909090909,0.0,0.0
ตำรวจ,None,None,Public,485,1600,8,363,50,0.6273364485981309,0.3726635514018692,759,3274.598323170732,2253.8548387096776,4105.25,2950.0416666666665,0.0,767.5593220338983,6380.394736842105,3186.2972972972975,4319.953608247422,0.0,3007.96
ทหารเรือกรุงเทพ,None,None,Public,40,2200,3,10,50,0.9998754631215169,0.00012453687848314082,33,0.0,0.0,0.0,0.0,0.0,11009.25,0.0,0.0,0.0,0.0,0.0
ทหารผ่านศึก,None,None,Public,277,1500,9,101,50,0.36075949367088606,0.6392405063291139,102,1533.0982142857142,0.0,0.0,0.0,0.0,186.42857142857142,4589.083333333333,3505.5,2763.1388888888887,0.0,1074.7826086956522
ทหารอากาศ (สีกัน) พอ.,None,None,Public,150,2000,5,31,50,0.0898876404494382,0.9101123595505618,5817,33.89099526066351,17.45398773006135,0.0,0.0,0.0,0.0,0.0,0.0,4.180746561886051,0.0,5.193548387096774
ธนบุรี 1,Top,THG,Private,435,5620,9,625,120,0.2230699461132156,0.7769300538867844,16451,1776.4654560201877,1463.5416040955631,3617.9319444444445,1545.3778280542986,907.8916083916084,3954.4289026275114,622.2932908545727,3884.8726495726496,1437.8148567119156,0.0,1860.5394325153375
ธนบุรี 2,None,THG,Private,95,5350,9,222,140,0.15537560076371057,0.8446243992362894,8906,798.9712244423791,1738.6352040816328,981.6428571428571,1623.793007518797,1432.826423357664,1549.812244897959,1780.9340134340887,6289.735586419753,1364.207178030303,666.6666666666666,1411.7060778443115
ธนบุรี บำรุงเมือง,None,THG,Private,1400,5620,8,86,200,0.21762589928057555,0.7823741007194245,5176,1495.1900383141763,0.0,0.0,22.175732217573223,62.69822485207101,22.679012345679013,43.357358870967744,392.70062695924764,52.79099678456592,0.0,152.38149779735681
นครธน,None,None,Private,150,4500,8,60,150,0.11947614306502259,0.8805238569349774,7935,933.7734960458134,1113.8618090452258,4771.857777777778,1066.982647975078,1453.3663157894737,6877.902850678736,1581.2374727120066,3716.4028525641024,1306.40109375,0.0,1822.3850731707316
นพรัตนราชธานี,None,None,Public,609,1400,9,128,150,0.357630979498861,0.642369020501139,286,1542.0368098159508,1833.3333333333333,0.0,3183.777777777778,0.0,3823.054054054054,2585.0,3059.625,1151.983606557377,0.0,1856.9166666666667
นวเวช,None,None,Private,99,4000,8,240,100,0.03333333333333333,0.9666666666666667,4222,0.0,6.968641114982578,0.0,56.68235714285714,0.0,0.0,4.749608763693271,8.798045602605864,0.0,0.0,0.0
นวมินทร์,None,None,Private,180,3000,9,92,100,0.23508771929824562,0.7649122807017544,145,1591.5604395604396,0.0,0.0,0.0,0.0,1590.0,704.3,2290.0,233.96428571428572,0.0,1214.7857142857142
นวมินทร์ 9,None,None,Private,245,3280,9,179,100,0.19758229192191457,0.8024177080780854,10662,999.633398931684,542.5412844036697,494.21495327102804,236.29787234042553,403.1333333333333,1784.3976261127596,609.6345609065156,1911.871485943775,576.3663133097762,0.0,892.4704491725769
นันอา,None,None,Private,30,0,5,14,0,0.21428571428571427,0.7857142857142857,246,0.0,0.0,0.0,4678.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
บางโพ,None,None,Private,100,3700,9,155,50,0.2784966112138016,0.7215033887861984,5912,980.1148846576349,1898.3004733727812,3766.142134831461,2155.5704761904763,2200.3052,4321.1625,2241.839495472186,5466.711219512195,1293.3573138297872,0.0,1352.3346913580247
บางไผ่,None,None,Private,100,3530,9,8,100,0.0884450784593438,0.9115549215406562,3401,962.0116842105261,77.93027777777777,0.0,138.6214953271028,0.0,137.98646551724138,23.961821259309406,121.61116666666666,113.67454545454545,0.0,47.44064102564103
บางนา 1,None,None,Private,101,2700,7,84,100,0.1529051987767584,0.8470948012232415,1115,949.7582417582418,222.72727272727272,745.0,2343.021739130435,876.7272727272727,735.2121212121212,194.12605042016807,1370.0776699029127,174.42857142857142,0.0,224.88118811881188
บางปะกอก 1,None,BHGRT,Private,120,3200,7,171,100,0.1736260775862069,0.8263739224137931,6967,1009.7747754259163,456.0722727272727,6173.541666666667,299.21491228070175,869.4155263157895,983.7622149837133,1044.018579124579,1121.898321995465,444.1746153846154,0.0,1257.415257936508
บางปะกอก 8,None,BHGRT,Private,200,3200,9,219,80,0.18926553672316385,0.8107344632768362,1124,508.47983870967744,406.4419642857143,300.0,534.1010638297872,1012.4928571428571,973.6851851851852,1023.5214723926381,566.3731884057971,380.4349315068493,0.0,926.75
บางปะกอก 9 อินเตอร์เนชั่นแนล,Top,BHGRT,Private,120,3200,7,285,120,0.14148244473342003,0.85851755526658,4086,1048.3026690211907,1688.212643678161,454.5735294117647,582.7137931034483,1412.8651960784314,10486.925294117647,2069.8291042584437,5933.607383720931,1582.1663822525597,0.0,3747.691717791411
บางมด,None,None,Private,203,4000,9,71,200,0.08373904576436222,0.9162609542356378,633,616.2567567567568,1100.9642857142858,0.0,6254.324153846154,1092.0,2190.657142857143,1121.2407407407406,8212.6,4722.139534883721,0.0,899.25
บ้านแพ้ว สาขาแจ้งวัฒนะ,None,None,Public,10,2300,2,17,50,0.64375,0.35625,3041,911.25,64.7452229299363,316.29411764705884,730.718820861678,0.0,0.0,1.088695652173913,1.3363028953229399,26.085918854415276,0.0,0.0
บ้านแพ้วสาขาสาทร,None,None,Public,54,2300,6,47,50,0.038461538461538464,0.9615384615384616,3088,0.0,256.7105263157895,0.0,51.196825396825396,0.0,106.83333333333333,0.0,1.5235457063711912,4.148148148148148,0.0,0.0
บำรุงราษฎร์,Top,BH,Private,580,11492,9,1133,300,0.17510572636872784,0.8248942736312721,10259,3399.036410881039,1620.2253681710215,8573.275833333333,6110.491905882353,1355.3207443365695,6732.994739229025,705.6288797610157,4140.776014669927,1072.633723628692,330.0,2267.3663356164384
บีเอ็นเอช : BDMS,None,BDMS,Private,86,8800,9,291,350,0.14528502301428065,0.8547149769857193,4864,1617.0382721382284,2931.7872656249997,6621.298333333333,2598.405949367089,993.1777777777778,15373.656666666666,3385.97996941896,4997.364341637011,7302.953068965518,2186.28125,5264.860616438357
