ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,ค่าบริการทางการแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 2,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 13,กลุ่มที่ 16,กลุ่มที่ 18
สมิติเวชสุขุมวิท : BDMS,Top,BDMS,Private,275,9000,7,571,300,0.16159543142678684,0.8384045685732132,6700,2816.059474999999,5124.369696969697,8399.688333333334,1588.2032386363637,2663.1732911392405,9931.492967479677,3286.8574036511145,5962.579906103286,1584.2415634674921,11250.0,3201.755516129032
สวนเบญจกิตติ เฉลิมพระเกียรติ 84 พรรษา,None,None,Public,60,1400,7,45,30,0.04,0.96,254,308.5625,10561.538461538461,350.0,7196.451142857143,0.0,980.5625,404.4074074074074,18057.14285714286,1172.5,0.0,0.0
สหวิทยาการมะลิ,None,None,Private,19,4800,6,10,150,0.041666666666666664,0.9583333333333334,152,526.2786885245902,0.0,0.0,1433.5,0.0,799.1666666666666,628.6,0.0,1000.0,0.0,0.0
สายหยุด,None,None,Private,6,0,4,4,200,0.0,1.0,6177,38.983050847457626,0.0,0.0,0.0,0.0,0.0,0.0,6.711538461538462,0.0,0.0,10.065727699530516
สินแพทย์  ศรีนครินทร์,None,VIBHA,Private,110,2800,9,21,100,0.21560562342685247,0.7843943765731475,20345,841.5878393051031,546.128818061089,1867.8117647058823,963.5979452054795,601.5160367454068,1049.3951025056947,776.2484250830804,1048.8816844919786,388.85,0.0,1249.6470588235295
สินแพทย์ เสรีรักษ์,None,VIBHA,Private,238,4050,9,231,100,0.20740499102919588,0.7925950089708041,17945,882.9996960179471,982.1788359788359,1976.7965384615386,925.3735849056604,2325.8505376344087,3629.252979066023,2457.556980149691,4995.610892351275,1958.3073606729758,1841.2307692307693,1675.8546448087432
สินแพทย์ รามอินทรา,None,VIBHA,Private,287,3100,9,258,150,0.2427843803056027,0.7572156196943973,1044,887.0350877192982,903.3333333333334,1774.5714285714287,1132.093023255814,292.14285714285717,456.1111111111111,793.5324675324675,1635.24,1147.880733944954,0.0,1205.0277777777778
สิรินธร,None,None,Private,305,2000,0,144,150,0.788235294117647,0.21176470588235294,136,4941.272727272727,0.0,0.0,2980.0,0.0,0.0,6507.05,2308.0,5873.87962962963,0.0,975.65
สิรินาถบึงกุ่ม (วิภาราม นวมินทร์),None,VIBHA,Private,52,3440,4,5,510,0.07263922518159806,0.927360774818402,354,359.0,2749.8214285714284,4626.416666666667,0.0,5231.666666666667,4627.107142857143,1617.3610714285714,8036.852459016393,4404.843137254902,0.0,3113.7741935483873
สุขสวัสดิ์,None,None,Private,100,4200,8,49,50,0.3804347826086957,0.6195652173913043,4200,639.1784615384615,0.0,0.0,185.119140625,0.0,0.0,0.700734394124847,113.8187037037037,22.24764150943396,0.0,66.34146341463415
สุขุมวิท,None,RAM,Private,135,2760,8,46,170,0.1477674269193704,0.8522325730806296,12778,1174.8195368645195,152.57014925373133,281.2391304347826,1644.6656217345871,600.7560975609756,1922.2614666666668,885.0399659863946,1073.195688225539,1189.9606299212599,223.0,816.7311072056239
หัวเฉียว,None,None,Private,338,3300,6,391,50,0.08560084700899948,0.9143991529910005,11206,725.6012365306483,1490.535578465063,1175.4528985507247,2040.9963235294117,589.8360927152318,1464.8744113029827,944.2637153772683,2290.24347826087,1192.8722136817833,0.0,1038.2472727272727
อินทรารัตน์,None,None,Private,152,3800,8,21,150,0.04065040650406504,0.959349593495935,81,0.0,0.0,0.0,5358.234848484848,0.0,0.0,1100.0,0.0,35.666666666666664,0.0,0.0
