ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,โรงพยาบาลเฉพาะทาง,จำนวนแพทย์,ค่าบริการทางการแพทย์,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 4,กลุ่มที่ 5,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 12,กลุ่มที่ 13,กลุ่มที่ 14,กลุ่มที่ 15,กลุ่มที่ 16,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 19,กลุ่มที่ 20,กลุ่มที่ 21
ราษฎร์บูรณะ,0,0,0,124,3950,9,0,46,200,41,1035.0,600.0,0.0,1100.0,0,0.0,950,4396.666666666667,13827.333333333334,28928.4,2498.75,14146.0,1047.2222222222222,1217.5,0.0,0.0,0.0,14415.833333333334,0.0,14397.0,0.0
ลาดพร้าว,0,0,1,180,4700,8,0,206,200,1559,12131.72037037037,3312.3444444444444,819.3088235294117,2749.1885350318476,0,3060.9777777777776,1564.0423880597014,1641.2642857142857,2812.674867724868,2796.7627906976745,7590.758226950353,57205.565,1628.5670526315787,9478.421194029848,0.0,7243.0,0.0,2571.1912318840573,7302.439090909091,3069.283076923077,36968.75
วชิรพยาบาล,1,0,0,740,2400,9,0,341,50,104,0.0,10334.810344827587,0.0,2894.8888888888887,0,0.0,1110,0.0,1889.888888888889,20711.0,12882.0,558.5,7131.25,6675.630952380952,0.0,0.0,0.0,1748.142857142857,0.0,1312.0,25770.0
วิชัยเวช แยกไฟฉาย,0,0,1,49,3250,9,0,7,110,24,1120.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1172.5,0.0,0.0,1475.5,790.0,0.0,0.0,0.0,786.0,0.0,3290.214285714286,0.0
วิชัยเวชอินเตอร์เนชั่นแนลหนองแขม(ศรีวิชัย2),0,0,1,172,4200,8,0,137,80,115,6782.8,0.0,1120.0,923.0769230769231,0,1046.0,0,6919.0,1470.0,1239.0,3983.866666666667,2862.0,1867.3,1204.0,0.0,0.0,0.0,2006.875,10396.0,1285.2758620689656,0.0
วิชัยยุทธ,0,0,1,207,5500,9,0,716,250,705,7466.435833333334,29681.161,1251.8181818181818,9772.767333333333,0,10578.957142857142,8566.085454545455,4273.886666666667,29421.783783783783,4910.104507042253,26899.171369863012,156240.65,2233.778863636364,13299.004000000004,121460.85,0.0,0.0,2167.5592592592593,5424.4400000000005,2312.8331746031745,32678.3
วิภาราม,0,1,1,150,2200,9,0,272,100,865,3203.315789473684,15160.941176470587,1191.4,1138.5882352941176,0,1089.4285714285713,3152.839285714286,1160.5172413793102,4082.92,2305.682926829268,3792.875,35642.0,1546.1891891891892,2595.2982456140353,0.0,0.0,0.0,1140.4307692307693,1010.125,4456.946666666667,1689.0
วิภาวดี,0,0,1,258,4360,8,0,417,80,1535,8311.192982456141,9363.95,0.0,3761.1643835616437,0,9055.76923076923,2486.754716981132,3480.6744186046512,7085.114461538462,3499.8596491228072,8660.30985915493,133864.5,2276.120535714286,3152.0446428571427,49604.5,10699.5,0.0,7391.305785123967,10129.875,2663.1138211382113,134807.0
วิมุต,0,0,1,236,5900,7,0,232,150,55,1463.8899999999999,0.0,0.0,0.0,0,980.0,744.5,1445.0,2080.0,1992.75,7433.6,1322.0,1911.9,1417.3333333333333,0.0,0.0,0.0,2321.5,0.0,1147.3333333333333,4998.0
ศิครินทร์,0,0,1,258,5100,9,0,348,120,1148,4418.73552238806,2595.714285714286,1980.0,2657.8769512195117,0,7702.6,2491.651923076923,2995.388,9060.651130434782,3879.5705844155827,6987.283692307691,73669.24000000002,1873.7085106382976,2441.7354166666664,0.0,0.0,1182.5,3988.4139285714286,33094.84444444444,6639.1783505154635,55418.8
ศิริราช ปิยมหาราชการุณย์,1,0,1,0,6700,9,0,615,180,1708,7778.096385542169,70376.72972972973,17636.444444444445,5432.48,0,28461.92,25575.468253968254,6110.32,58594.64356435643,11890.272727272728,40154.04663212435,308752.0,23053.758928571428,23442.697872340425,0.0,0.0,0.0,9630.382716049382,38733.42105263158,15839.40579710145,68280.0
