ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,แผนกพื้นฐานในการรักษา,จำนวนแพทย์,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 3,กลุ่มที่ 4,กลุ่มที่ 5,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 12,กลุ่มที่ 13,กลุ่มที่ 14,กลุ่มที่ 15,กลุ่มที่ 17,กลุ่มที่ 19,กลุ่มที่ 20,กลุ่มที่ 21
พญาไท 2 : BDMS,1,1,1,260,9,535,1412,5633.368852459016,1606.611111111111,2649.7631578947367,0,6814.590909090909,6087.141791044776,2051.4074074074074,8476.37037037037,93762.25,3901.4205607476633,10766.456382978724,176347.0,0.0,6444.409090909091,2827.2964285714284,66662.25
พญาไท 3 : BDMS,0,1,1,230,9,412,703,6328.372881355932,1470.0,2535.06,0,22199.4,2438.8035714285716,5554.145833333333,2585.4054054054054,59015.0,9664.040229885057,6091.8375,0.0,0.0,5822.0,6960.931034482759,10525.0
พญาไท นวมินทร์ : BDMS,0,1,1,140,9,57,397,9099.307692307691,718.4,4355.636363636364,0,0.0,2068.0,6811.428571428572,11909.333333333334,23320.5,3354.7096774193546,7427.555555555556,0.0,0.0,0.0,2876.9710144927535,0.0
พระมงกุฎเกล้า,1,0,0,953,9,249,101,12181.0,0.0,3099.5,0,2566.875,2752.769230769231,0.0,21436.826315789473,516.5,2193.45,3227.375,0.0,0.0,133539.75,0.0,650.0
พระราม 2,0,0,1,109,7,15,7,861.0,0.0,0.0,0,0.0,0.0,0.0,1570.0,470.5,0.0,0.0,0.0,0.0,0.0,6835.0,0.0
พระรามเก้า,1,0,1,166,9,340,657,9930.17857142857,0.0,1694.475,0,5423.833333333333,10219.484848484848,1547.764705882353,3202.2093023255816,45908.0,2675.019230769231,2494.8055555555557,0.0,0.0,1949.8,3243.15625,16277.0
ภูมิพลอดุลยเดช กรมแพทย์ทหารอากาศ,0,0,1,619,9,221,71,2514.25,0.0,1817.6,0,672.75,917.0,0.0,33716.125,616.5,353.68055555555554,7800.0,0.0,0.0,0.0,0.0,755.0
มเหสักข์,0,0,1,132,9,44,6,1040.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1332.0,0.0,0.0,0.0,0.0,2237.6666666666665,0.0
มงกุฎวัฒนะ,0,0,1,100,8,411,638,2737.9199999999996,450.0,1604.9813636363635,0,2645.056,3196.3317142857145,2867.4975,3224.254736842105,35146.085,1312.3748421052633,22555.538000000004,0.0,0.0,920.8178571428572,1740.2874285714286,0.0
มิชชั่น,0,0,1,120,6,107,134,1284.142857142857,0.0,1601.1818181818182,0,0.0,845.0,1170.0,1214.2727272727273,13398.5,16473.894736842107,48810.75,0.0,0.0,0.0,1642.0,3508.0
มิตรประชา,0,0,1,148,9,55,10,875.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,0.0,0.0,0.0,0.0,40950.0
ยันฮี,1,0,0,400,0,290,585,11708.925925925925,0.0,3264.0,0,0.0,4462.0,12518.181818181818,4793.756944444444,49452.5,9569.108108108108,26573.18181818182,0.0,0.0,30931.0,4852.9190751445085,0.0
รัชดา-ท่าพระ,0,0,0,25,8,10,7,830.0,0.0,0.0,0,0.0,0.0,0.0,1300.0,0.0,852.5,0.0,0.0,0.0,0.0,0.0,0.0
ราชพิพัฒน์,0,0,0,277,8,200,2,0.0,0.0,0.0,0,0.0,0.0,0.0,2433.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ราชวิถี,1,0,1,1031,9,347,27,440.0,0.0,1316.6666666666667,0,21905.0,579.2,300.0,10896.0,0.0,0.0,2545.0,0.0,0.0,0.0,0.0,0.0
รามคำแหง,1,1,0,486,9,327,957,6788.429591836734,1504.5,6280.4103076923075,0,7339.857142857143,5169.652777777777,5156.121212121212,5034.321428571428,66261.03,5543.332962962963,2793.6776470588234,0.0,0.0,2022.0,2138.6689655172413,9156.0
รามาธิบดี,1,0,1,1378,9,1041,1056,1704.9285714285713,3434.3684210526317,2295.5555555555557,0,2958.4545454545455,10222.096153846154,858.75,29401.58823529412,66869.75,7669.497784090909,5604.505597014925,66293.75,0.0,755.0,1135.0,66303.75
ราษฎร์บูรณะ,0,0,0,124,9,46,41,1035.0,0.0,1100.0,0,0.0,950.0,4396.666666666667,13827.333333333334,14146.0,1047.2222222222222,1217.5,0.0,0.0,0.0,14397.0,0.0
