ชื่อ,ติดอันดับการจัดที่ดีที่สุด,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาล,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,ค่าบริการทางการแพทย์,จำนวนครั้งในการเคลม,อัตราการเข้าเคลมIPD,อัตราการเข้าเคลมOPD,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 12,กลุ่มที่ 13,กลุ่มที่ 14,กลุ่มที่ 15,กลุ่มที่ 16,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 19,กลุ่มที่ 20,กลุ่มที่ 21
พระมงกุฎเกล้า,Top,None,Public,953,2000,9,249,50,738,0.14363143631436315,0.8563685636856369,11986.166666666666,12946.004237288136,1597.18,2629.574468085106,4716.416666666667,2925.3161764705883,1401.1,10111.31649484536,3996.212142857143,24879.83695652174,1681.7,6754.656976744186,3958.942857142857,0.0,0.0,0.0,1543.3673469387754,56067.583333333336,3806.8888888888887,1027.7777777777778
พระรามเก้า,Top,None,Private,166,7950,9,340,250,8186,0.04361104324456389,0.9563889567554361,5939.503863987636,21189.705263157895,8393.107142857143,2751.4496753246754,3073.1111111111113,2482.4164265129684,2375.775956284153,4112.478260869565,2418.9035850081477,5782.044444444445,1681.0221774193549,2633.9018003273322,5142.04375,0.0,0.0,0.0,5235.68058968059,4904.811320754717,2371.603015075377,2001.2142857142858
ภูมิพลอดุลยเดช กรมแพทย์ทหารอากาศ,None,None,Private,619,2000,9,221,50,254,0.08661417322834646,0.9133858267716536,1933.5,1782.7105263157894,6447.083333333333,1220.7272727272727,1166.767857142857,3996.525,1491.0,9275.85294117647,1027.3,2102.8809523809523,1093.3125,767.4269662921348,2640.0,0.0,0.0,0.0,1558.6666666666667,12699.5,6034.633333333333,755.0
มงกุฎวัฒนะ,None,None,Private,100,4000,8,411,75,4011,0.06556968337073049,0.9344303166292696,3840.9940148698884,13753.748367346938,5147.172666666666,2271.0493406593405,4603.9881081081085,2596.1115714285716,2154.9352,4605.71905737705,2275.2968838219326,5128.172118959107,1190.23462585034,1346.8323603603606,7291.182611940299,0.0,0.0,0.0,4432.408586572437,896.993125,2317.5058202247187,674.4
มิชชั่น,None,None,Private,120,4000,6,107,150,705,0.06666666666666667,0.9333333333333333,2782.3333333333335,28273.0,0.0,1592.1046511627908,1200.0,12040.461538461539,1541.1538461538462,12673.692307692309,10519.740458015267,9504.9,951.6301369863014,4693.826086956522,11481.53125,0.0,0.0,0.0,3306.0,5216.142857142857,5071.138888888889,894.1428571428571
มิตรประชา,None,None,Private,148,1800,9,55,120,76,0.06578947368421052,0.9342105263157895,1852.3,0.0,0.0,1000.0,950.0,1232.0,0.0,1066.0,9951.533333333333,1143.3333333333333,1002.8,790.0,890.0,0.0,0.0,0.0,1243.3333333333333,0.0,2835.5,1000.0
รัชดา-ท่าพระ,None,None,Public,25,4000,8,10,100,40,0.1,0.9,928.0,5285.0,0.0,0.0,0.0,650.0,0.0,1300.0,1493.75,3609.0,556.3333333333334,898.75,675.0,0.0,0.0,0.0,653.3333333333334,920.0,0.0,0.0
ราชวิถี,Top,None,Private,1031,4300,9,347,100,250,0.324,0.676,3633.3333333333335,23653.973684210527,981.0,1228.939393939394,3940.0,10342.533333333333,260.0,6220.142857142857,4989.583333333333,10466.847826086956,300.0,3130.3255813953488,2182.294117647059,0.0,0.0,0.0,4725.727272727273,5817.166666666667,780.0,0.0
รามคำแหง,Top,RAM,Public,486,3500,9,327,80,6332,0.07943777637397346,0.9205622236260266,7539.862697368422,21962.847966101694,1506.471052631579,3057.4133216783216,4839.488131868132,3206.7883846153845,3884.7439035087723,8934.306823204419,3997.0553468697126,8995.05429906542,2614.0974662162166,3045.1804761904755,5041.500483870968,41426.75,18213.5,1250.0,5251.019877675841,4102.379166666667,3600.706040462427,2667.0851851851853
รามาธิบดี,Top,None,Private,1378,1000,9,1041,100,6028,0.15378234903782348,0.8465494359654944,19259.947368421053,26826.70481986368,8979.039802955665,3063.2298538367845,8840.486301369863,6618.080676691729,1679.3842592592594,23863.307730061348,8295.888621794871,17632.86741424802,2324.135714285714,8554.650949640289,6393.766435643563,44202.65,675.0,0.0,5764.920913043478,19673.0,15637.577586206897,3035.5695652173913
ราษฎร์บูรณะ,None,None,Public,124,3950,9,46,200,575,0.11826086956521739,0.8817391304347826,5658.642857142857,32440.0,850.0,2987.0243902439024,933.0,8118.056074766355,4083.1111111111113,4341.242424242424,5776.379746835443,10363.8,4805.090909090909,892.0967741935484,2670.734693877551,0.0,0.0,0.0,4960.536585365854,1727.5,4062.3488372093025,0.0
ลาดพร้าว,None,None,Private,180,4700,8,206,200,8256,0.06286337209302326,0.9372577519379846,6319.916856540083,10117.049714285715,4041.5561538461543,2300.5309374999997,7167.791779661017,3047.7330630630627,1524.5846096654275,2521.057140974967,2783.0573787680205,7412.692765598652,1459.7879601990048,1750.3779722436395,6130.034960422164,38114.125,7191.0,0.0,2541.8440581717446,2868.9123684210526,4058.524672131148,2825.398275862069
วชิรพยาบาล,Top,None,Public,740,2400,9,341,50,251,0.450199203187251,0.5577689243027888,16656.0,16350.875,133846.0,1194.3103448275863,20297.2,21082.89285714286,875.2222222222222,10773.25,25248.58695652174,14244.84375,190.0,29791.94871794872,4953.27,0.0,0.0,2365.0,4888.941176470588,45832.25,5551.84375,0.0
วิชัยเวช แยกไฟฉาย,None,Vichaivej,Private,49,3250,9,7,110,202,0.09900990099009901,0.900990099009901,848.6666666666666,0.0,0.0,880.0,530.0,8976.591666666667,936.6666666666666,0.0,1155.7878787878788,1320.909090909091,888.75,1149.5833333333333,8303.666666666666,0.0,0.0,0.0,739.4285714285714,710.0,6851.041666666667,0.0
วิชัยเวชอินเตอร์เนชั่นแนลหนองแขม(ศรีวิชัย2),None,Vichaivej,Private,172,4200,8,137,80,646,0.12229102167182662,0.8792569659442725,7042.282608695652,2020.0,1240.0,1126.7708333333333,3318.0,882.1428571428571,11737.333333333334,20073.75,4565.361842105263,9425.745098039215,1055.6153846153845,1352.1090909090908,1154.34375,0.0,0.0,0.0,5006.11320754717,2607.0,3264.3714285714286,665.0
วิชัยยุทธ,None,None,Private,207,5500,9,716,250,4016,0.07395418326693227,0.9267928286852589,10691.110659898479,28621.396666666667,6626.086981132075,4204.89367816092,8236.547272727274,4257.659471365639,2742.0414736842104,13544.857485380116,3808.6792348993285,12643.13273364486,2356.6446020761246,2147.6511320754717,7812.671034482759,121460.85,0.0,0.0,9575.747687861272,9745.22380952381,4347.987123893806,3919.5758620689653
วิภาราม,None,VIBHA,Private,150,2200,9,272,100,4669,0.05482972799314628,0.9451702720068537,4089.262987012987,9230.358974358975,32408.45,4594.938181818182,1767.8684210526317,2042.0055865921788,1405.5,5252.498194945849,3233.57684729064,4954.089552238806,1764.9262536873157,2394.9806451612903,4826.91095890411,0.0,0.0,0.0,2228.230061349693,1253.125,5986.444610778443,986.6
วิภาวดี,None,None,Private,258,4360,8,417,80,8769,0.09191469950963622,0.9080853004903637,9122.581395348838,11763.594594594595,9224.310344827587,2877.6630669546435,6852.164556962025,2625.4380403458213,3895.4423076923076,4457.946712328767,4672.388574369532,9648.650341685649,1986.4601063829787,2273.1499162479063,4947.125,55952.57142857143,3266.75,3809.0,7248.540918163672,3868.8064516129034,6510.464968152866,2863.6083916083917
วิมุต,None,None,Private,236,5900,7,232,150,266,0.041353383458646614,0.9586466165413534,8956.182857142858,0.0,0.0,0.0,980.0,2759.880735294118,1508.3333333333333,2116.0,912.020625,5614.733333333334,1347.3333333333333,1889.3964705882354,1204.48,0.0,0.0,0.0,1743.2857142857142,0.0,2004.6753846153845,4998.0
ศิครินทร์,None,None,Private,258,5100,9,348,120,7032,0.08176905574516496,0.9182309442548351,7979.404913043477,22025.80847457627,3492.672,2541.45189010989,4360.649275362319,2777.823368421053,2959.337904191617,4455.712044673539,3711.878502604168,9385.670026041664,1811.8991789473675,1933.7213526119401,5826.521815718157,23565.5625,0.0,1337.25,5127.91899159664,6468.733404255318,4956.834066666667,5576.552380952381
ศิริราช ปิยมหาราชการุณย์,Top,None,Private,0,6700,9,615,180,6520,0.22162576687116564,0.778680981595092,11175.995117647059,56939.71593927894,68514.00724637682,5925.884615384615,47137.14324324324,21246.721374045803,8398.93043478261,43819.039106145254,9326.330672748005,35509.09031198687,2517.133333333333,25858.66351351352,23102.97670682731,0.0,0.0,28454.666666666668,14808.299011299434,33278.969696969696,11036.335684647303,4034.64
ศิริราชพยาบาล,None,None,Public,2112,1000,9,2263,130,2857,0.23731186559327966,0.7633881694084704,8550.010204081633,20935.99628440367,5352.982394366197,4644.5684357541895,16376.666666666666,19317.171919770775,752.7142857142857,20453.114238410595,6933.655555555555,17494.26551724138,63280.063888888886,12005.058681672026,11893.18376,50576.75,0.0,24961.625,10341.784574468085,23292.775,3579.492718446602,3905.75
สมเด็จพระปิ่นเกล้า กรมแพทย์ทหารเรือ กองทัพเรือ,None,None,Public,414,2200,0,173,150,94,0.24468085106382978,0.7553191489361702,4850.0,0.0,0.0,1221.923076923077,0.0,23429.777777777777,0.0,2083.1785714285716,689.9852941176471,4958.0,368.0,7104.25,1133.0,0.0,0.0,0.0,1594.6666666666667,31650.0,586.5,0.0
สมิติเวชไชน่าทาวน์ : BDMS,None,BDMS,Private,31,6190,6,85,300,167,0.11976047904191617,0.8802395209580839,4130.099,750.0,0.0,2150.0,0.0,8624.216250000001,5747.01,2200.4558333333334,1694.2283333333335,6641.456,3040.9814285714283,9554.174666666666,27957.102857142854,0.0,0.0,0.0,5411.697692307692,16025.115,2886.764090909091,1040.75
สมิติเวชธนบุรี : BDMS,None,BDMS,Private,150,6190,8,256,300,1748,0.041762013729977114,0.9582379862700229,12861.80992248062,3892.805,1548.466,1499.495813953488,1595.9555555555555,1943.602222222222,1410.1724137931035,1621.5334782608697,2911.833758542142,4404.8256643356635,1601.3147692307693,1847.5989878542512,3216.893059701493,52845.0,0.0,0.0,2455.9379787234043,3765.1114285714284,3943.142164179104,925.0
สมิติเวชศรีนครินทร์ : BDMS,Top,BDMS,Private,154,7255,9,8,200,3495,0.06523605150214593,0.9353361945636623,11701.333520000004,17353.283636363638,6581.584545454545,3370.1035869565208,1831.252,2562.228552631579,3312.1759036144576,7160.557770700638,3732.3847441860485,10789.197964912277,2381.967336065574,4513.942563451777,9130.227538461537,86374.8,55906.355,1911.2,4366.662129032259,2270.2614583333334,11653.35553846154,8519.058181818182
สมิติเวชสุขุมวิท : BDMS,Top,BDMS,Private,275,9000,7,571,300,3120,0.06955128205128205,0.9307692307692308,17052.59606936416,108875.32375000001,2021.748378378378,5063.0,10079.626,2166.8509302325583,3393.3982258064516,19237.38007874016,4596.938156028367,10367.587918367346,2120.056607142857,1847.328610108303,13751.301013513515,116544.81,16875.0,23236.3825,4205.695805084745,1724.319375,22025.785028248592,3272.009428571428
สวนเบญจกิตติ เฉลิมพระเกียรติ 84 พรรษา,None,None,Public,60,1400,7,45,30,119,0.09243697478991597,0.907563025210084,6860.0,0.0,0.0,10561.538461538461,350.0,7196.451142857143,0.0,2241.285714285714,992.6363636363636,18057.14285714286,1457.28125,703.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
สหวิทยาการมะลิ,None,None,Private,19,4800,6,10,150,30,0.03333333333333333,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,1433.5,4500.0,799.1666666666666,523.8333333333334,0.0,2403.0833333333335,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,3407.5,0.0
สินแพทย์  ศรีนครินทร์,None,VIBHA,Private,110,2800,9,21,100,3117,0.11894273127753303,0.8810572687224669,10554.622680851064,24948.666666666668,3299.8571428571427,2492.3333333333335,9339.058823529413,5328.988636363636,4244.029814814815,7312.451587301587,5141.067320574162,7366.793427230047,2779.0510204081634,1944.25,6053.016666666666,0.0,0.0,1766.5,7192.850393700787,4804.62962962963,3267.088433179724,877.6666666666666
สินแพทย์ เสรีรักษ์,None,VIBHA,Private,238,4050,9,231,100,4696,0.1260827718960539,0.8739172281039461,11027.24635568513,14608.741935483871,3109.9285714285716,2250.082424242424,5139.671,2483.281012658228,4944.093714285715,11382.657070707071,4926.335681669928,9769.809667590027,2559.338905775076,4039.8054229934924,11424.81226993865,46005.0,1841.2307692307693,0.0,4339.831132075471,2985.2916666666665,3385.6041942604857,1341.9444444444443
สินแพทย์ รามอินทรา,None,VIBHA,Private,287,3100,9,258,150,227,0.1247870528109029,0.8752129471890971,18138.5,0.0,2144.0,2710.0,24844.0,1738.5714285714287,584.2857142857143,1368.3333333333333,2444.08,7665.1875,3708.6363636363635,2909.7441860465115,1337.857142857143,0.0,0.0,0.0,3943.7272727272725,600.0,3394.55,1594.0
สิรินาถบึงกุ่ม (วิภาราม นวมินทร์),None,VIBHA,Private,52,3440,4,5,510,354,0.0847457627118644,0.9152542372881356,10131.142857142857,0.0,3922.0,2749.8214285714284,4626.416666666667,0.0,5231.666666666667,4467.551724137931,1617.3610714285714,8036.852459016393,1459.6315789473683,4404.843137254902,6796.428571428572,0.0,0.0,0.0,3861.08,1530.5,7617.176470588235,3426.0
สุขสวัสดิ์,None,None,Private,100,4200,8,49,50,30,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,6318.733333333334,0.0,0.0,1145.0,15365.525,0.0,1347.5714285714287,0.0,0.0,0.0,0.0,8160.0,0.0,5084.706666666666,0.0
สุขุมวิท,None,RAM,Private,135,2760,8,46,170,2130,0.06619718309859154,0.9342723004694836,5739.838323353293,23812.85,13862.0,2174.936170212766,2587.4,10634.763513513513,2010.6938775510205,20023.556944444445,3440.684297520661,5016.565891472868,2308.5247933884298,7083.984375,8246.753086419752,0.0,892.0,0.0,3905.2100840336134,5544.7692307692305,4210.091503267974,3205.8888888888887
หัวเฉียว,None,None,Private,338,3300,6,391,50,4066,0.03787506148548942,0.9621249385145105,2156.8662361623615,14378.476744186046,30780.733125,2891.639022222222,1422.9166666666667,3998.001028806584,989.6138888888889,2720.481049562682,1626.0593914473684,4083.3798449612405,2050.2450236966824,2036.6492782152231,3220.538990825688,81514.25,0.0,0.0,1852.0086486486484,5127.857142857143,3728.023111111111,1983.3157894736842
อินทรารัตน์,None,None,Private,152,3800,8,21,150,123,0.04065040650406504,0.959349593495935,0.0,0.0,0.0,0.0,0.0,5358.234848484848,0.0,0.0,1100.0,0.0,1455.5,35.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,1580.25,0.0
