Unnamed: 0,ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 14,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 20,Cluster_label,segment
0,เกษมราษฎร์บางแค : BCH,None,BCH,Private,311,5600,5,157,0.07000795544948289,0.9299920445505172,2514,7359.734693877551,2300.587878787879,1133.666666666667,3525.022471910112,3229.854280510018,11690.97448979592,6656.268518518518,0.0,3968.713450292397,3508.124401913876,1,Second
2,เกษมราษฎร์รามคำแหง : BCH,None,BCH,Private,139,3800,8,101,0.04102096627164995,0.9589790337283499,1097,4337.456140350877,1029.834782608696,10750.0,1601.458333333333,2195.677685950413,6892.016129032259,2202.71186440678,0.0,2646.046511627907,2385.809917355372,1,Second
3,เจริญกรุงประชารักษ์,None,None,Public,424,2000,9,117,0.2432432432432433,0.7567567567567568,37,0.0,0.0,0.0,805.5,700.5,870.0,6333.38888888889,0.0,0.0,724.0,1,Second
4,เจ้าพระยา,None,None,Private,200,5750,7,350,0.1082882132444815,0.8917117867555185,2401,9831.29569892473,2724.815789473684,4627.61111111111,7126.633027522936,4249.368932038835,12807.21146245059,15016.01834862385,860.0,7248.317073170731,7166.304498269898,1,Second
5,เซนต์หลุยส์,Top,None,Private,387,4500,9,188,0.03523371104815864,0.9647662889518414,5648,3373.706666666666,1843.25,1225.357142857143,1647.101167315175,1877.385616438356,4199.056122448979,3220.787037037037,0.0,1818.203007518797,2944.680589680589,1,Second
6,เทพธารินทร์,None,None,Private,80,2100,8,106,0.04037685060565276,0.9596231493943472,743,7065.09375,2463.687213114754,4534.9,7684.17543859649,4776.040476190477,33257.13333333333,3318.6875,0.0,2759.032258064516,5185.833333333333,1,Second
7,เปาโลเมโมเรียล เกษตร : BDMS,None,BDMS,Private,162,4000,7,263,0.06685969992103186,0.9331403000789682,3799,5526.341013824886,1802.602209944752,1289.176470588235,1507.169590643275,3048.183544303798,7573.167630057804,3693.168141592921,0.0,4639.005714285714,4268.49494949495,1,Second
8,เปาโลเมโมเรียล โชคชัย4 : BDMS,None,BDMS,Private,140,2940,8,183,0.06097760340035965,0.9390223965996404,6117,6626.973063973064,1292.646306818182,2977.761904761905,1889.329540816326,3625.298387096774,12086.54436450839,6554.67,0.0,4357.484184914842,3136.010183299389,1,Second
9,เปาโลเมโมเรียล พหลโยธิน : BDMS,None,BDMS,Private,220,5450,9,305,0.05428738659642962,0.9460052677787532,6834,5798.104954954955,3339.96288056206,2055.441034482759,2752.413922829581,2559.190123056994,7634.949027303753,6990.291814254861,0.0,4615.097236024845,2701.822250000003,1,Second
10,เพชรเวช,None,None,Private,200,4810,9,306,0.03986571548468317,0.9601342845153168,2383,3036.302816901409,1078.539325842697,1978.169811320755,1273.029411764706,1784.577868852459,6677.289099526066,2368.015873015873,0.0,1585.971428571429,10314.63358778626,1,Second
12,เลิดสิน,None,None,Public,609,1600,9,185,0.1487179487179487,0.8512820512820513,195,0.0,636.8333333333334,19011.0,2247.138484848485,0.0,727.0,8520.666666666666,27981.0,1020.0,667.1428571428571,1,Second
13,เวชธานี,None,None,Private,263,5850,8,722,0.06722383720930232,0.9327761627906976,2752,9469.750484848486,3262.824086378737,5951.419032258064,1587.527894736842,3420.131854304635,8985.594496402877,4919.566031746032,0.0,7145.398655462185,7961.721895424836,1,Second
14,เวชศาสตร์เขตร้อน,None,None,Public,106,1700,3,41,0.04301075268817205,0.956989247311828,186,1389.340909090909,1837.411764705883,234.25,2343.402333333333,630.703125,2801.409090909091,6884.5,0.0,1173.4375,0.0,1,Second
15,ไทยนครินทร์,None,None,Private,190,6020,9,346,0.07291949037679588,0.927080509623204,3689,7824.689814814815,3487.761904761905,6408.75,2120.791044776119,3346.797455968689,8424.539682539682,4829.695121951218,0.0,3873.370967741936,3088.041474654378,1,Second
16,กรุงเทพ : BDMS,Top,BDMS,Private,263,11300,9,1198,0.06282906282906282,0.937872937872938,5698,6832.9372,4025.245755208333,7085.898253968255,5533.330927152319,3723.676149870801,10273.25433870968,6640.434526627219,1200.0,6956.878526315789,29047.03864754099,1,Second
17,กรุงเทพคริสเตียน,Top,None,Private,244,4900,6,319,0.06299840510366826,0.9370015948963316,5016,5798.735915492958,2655.494845360825,9729.170731707318,2641.385321100917,2934.541095890411,6566.448747152621,4411.060465116279,1860.0,3117.157480314961,7726.608,1,Second
18,กล้วยน้ำไท 1,None,None,Private,160,6650,8,85,0.06239168110918544,0.9376083188908144,577,2276.574468085106,1224.214285714286,812.4,1259.75,1606.307692307693,6308.117647058823,6004.166666666668,0.0,1964.680555555556,7644.102040816327,1,Second
19,กลาง,None,None,Public,475,3000,9,116,0.1419354838709677,0.8580645161290322,155,952.6875,5246.666666666667,0.0,2818.5598,1356.53125,15003.765625,777.875,0.0,563.5,1090.4,1,Second
20,คลองตัน,None,None,Private,30,2000,4,21,0.2162162162162163,0.7837837837837838,37,17553.33333333333,0.0,5377.666666666667,0.0,7532.0,0.0,2000.0,0.0,17478.0,0.0,1,Second
21,คามิลเลียน,None,None,Private,120,4400,7,146,0.02136181575433912,0.9786381842456608,749,3547.4375,1321.034482758621,1598.2,1287.25,1184.036231884058,1084.181818181818,1996.9,0.0,1129.51724137931,2469.009523809524,1,Second
22,จุฬาภรณ์,None,None,Public,115,3500,8,445,0.1550094517958412,0.8468809073724007,529,17270.66666666667,1203.684210526316,4779.25,5678.948275862069,554.53125,4026.01724137931,5506.666666666668,0.0,1796.991666666667,1093.966666666667,1,Second
23,จุฬาลงกรณ์,Top,None,Public,1485,3500,9,435,0.1488257782632441,0.8511742217367558,3662,6826.422535211268,2670.980169971671,7376.163636363636,9815.628391167193,7763.614840989399,12344.07003257329,7005.161691542287,9512.333333333334,4704.467153284671,14055.19047619048,1,Second
24,ซีจีเอชพหลโยธิน,Top,None,Private,120,4430,8,384,0.0935672514619883,0.9064327485380116,1881,6822.961538461538,3598.558139534884,2557.333333333333,3237.0,3523.482078853046,4205.821138211382,2146.702127659575,0.0,5746.459459459459,2064.285714285714,1,Second
25,ซีจีเอชสายไหม,None,None,Private,100,3890,8,384,0.06381798002219756,0.9361820199778024,1802,3893.420168067227,1446.415841584159,8629.142857142857,2223.6,2866.097978227061,3263.281553398058,3444.692307692308,0.0,2412.097560975609,5932.027932960894,1,Second
27,ทหารผ่านศึก,None,None,Public,277,1500,9,101,0.2075471698113208,0.7924528301886793,53,0.0,427.5,0.0,2488.0,3441.8125,3505.5,0.0,0.0,4120.0,2559.375,1,Second
28,ธนบุรี 1,Top,THG,Private,435,5620,9,625,0.0861169102296451,0.9138830897703548,3832,7858.772368421052,3212.117528089888,8920.92808219178,4378.570512820513,2887.440869565217,11714.69329896907,5164.702272727272,0.0,5804.170861244019,11251.39142011835,1,Second
29,ธนบุรี 2,None,THG,Private,95,5350,9,222,0.07747196738022426,0.9225280326197758,2943,7182.475863636363,3373.985148514852,1446.631578947369,2918.438783783784,2921.614889807162,11384.77279329609,9149.162162162162,0.0,3164.495503355705,3740.669930875576,1,Second
30,ธนบุรี บำรุงเมือง,None,THG,Private,1400,5620,8,86,0.08,0.92,75,3056.666666666666,0.0,0.0,2650.0,2966.241379310345,22776.63636363636,0.0,0.0,17295.3,15734.85714285714,1,Second
31,นครธน,None,None,Private,150,4500,8,60,0.06497277676950998,0.9357531760435572,2755,8190.676865671643,1862.676470588235,6607.187692307692,2575.198721804511,2402.109477040817,7385.462993630573,11361.28202247191,0.0,3365.666126126126,3816.133881118881,1,Second
32,นพรัตนราชธานี,None,None,Public,609,1400,9,128,0.1590909090909091,0.8409090909090909,88,0.0,1692.307692307693,0.0,3183.777777777778,2585.0,1359.833333333333,4340.0,0.0,1591.642857142857,778.0,1,Second
33,นวเวช,None,None,Private,99,4000,8,240,0.03333333333333333,0.9666666666666668,30,5039.999999999999,2000.0,0.0,1322.588333333333,433.5714285714286,1350.5,0.0,0.0,0.0,589.6,1,Second
34,นวมินทร์,None,None,Private,180,3000,9,92,0.1,0.9,40,1016.0,0.0,0.0,0.0,880.375,2862.5,0.0,62324.0,6802.8,2535.5,1,Second
35,นวมินทร์ 9,None,None,Private,245,3280,9,179,0.08873563218390805,0.9112643678160921,2175,7833.093959731545,1219.319587628866,4807.363636363636,1363.894736842105,3629.896385542169,5471.908045977011,9715.051724137933,0.0,2051.711956521739,5314.737777777777,1,Second
36,บางโพ,None,None,Private,100,3700,9,155,0.1319148936170213,0.8680851063829788,1645,9702.911517857143,4583.039714285715,15961.26904761905,7431.89223880597,4175.763686746988,11095.8,8455.673194444445,0.0,5055.651230769231,4945.75782051282,1,Second
37,บางไผ่,None,None,Private,100,3530,9,8,0.03225806451612903,0.967741935483871,186,5722.625,1558.605555555555,0.0,1348.409090909091,1141.664838709677,1621.482222222222,51209.25,0.0,853.9315384615386,1162.826829268293,1,Second
38,บางนา 1,None,None,Private,101,2700,7,84,0.03585657370517929,0.9641434262948207,251,991.9473684210526,700.0,745.0,3592.633333333333,924.04,10855.23076923077,472.0,0.0,688.2727272727273,9168.742857142857,1,Second
39,บางปะกอก 1,None,BHGRT,Private,120,3200,7,171,0.06896551724137931,0.9310344827586208,1827,7278.642937062938,1538.894171779141,4115.694444444444,1247.94512195122,2705.70260034904,3637.920294117647,5617.4125,0.0,5325.523445378151,3233.071666666667,1,Second
40,บางปะกอก 8,None,BHGRT,Private,200,3200,9,219,0.1298701298701299,0.8701298701298701,308,3869.515151515152,1896.729166666667,900.0,1045.947916666667,2254.513513513513,2605.316666666667,2763.041666666666,0.0,2965.6,2407.985576923077,1,Second
41,บางปะกอก 9 อินเตอร์เนชั่นแนล,Top,BHGRT,Private,120,3200,7,285,0.06396713615023474,0.9360328638497653,1704,4638.349316239316,2489.398305084746,1545.55,1482.342105263158,3324.41891509434,6418.745094339622,7858.805882352941,0.0,5604.34633027523,3682.736263736264,1,Second
42,บางมด,None,None,Private,203,4000,9,71,0.07773851590106008,0.92226148409894,283,1311.944444444444,1467.952380952381,450.0,7817.905192307691,1552.48717948718,2053.15,1389.4,0.0,899.25,11411.68181818182,1,Second
43,บ้านแพ้วสาขาสาทร,None,None,Public,54,2300,6,47,0.2173913043478261,0.7826086956521741,46,0.0,1810.909090909091,10754.0,17259.10526315789,313.0,600.0,0.0,0.0,0.0,0.0,1,Second
45,บีเอ็นเอช : BDMS,None,BDMS,Private,86,8800,9,291,0.05484024797329518,0.9451597520267048,2097,7554.31492647059,6701.228035714284,6909.180869565217,3766.496697247705,3947.292156862745,7978.746477272728,11836.36788617886,1518.89,8446.919230769232,3015.598805970149,1,Second
46,บีแคร์เมดิคอลเซ็นเตอร์,None,None,Private,136,4330,5,145,0.0617124394184168,0.9382875605815832,3095,4775.646911764707,1967.39093922652,1263.715625,5798.239082568809,2692.418990929705,6913.994029126215,3803.948418079096,0.0,3075.875693430657,2990.880775862069,1,Second
47,บุญญาเวช,None,None,Private,29,2900,8,8,0.09302325581395347,0.9069767441860463,43,0.0,18061.8,0.0,4656.214482758621,0.0,900.0,0.0,0.0,0.0,2640.0,1,Second
48,ปิยะเวท,None,BHGRT,Private,150,5760,9,243,0.04880478087649402,0.9511952191235059,1004,7049.050847457627,1682.152191780822,24907.5,1774.041891891892,1845.580389610389,5197.192149532711,10019.13581395349,0.0,4274.9575,2735.8125,1,Second
49,พญาไท 1 : BDMS,Top,BDMS,Private,174,4800,9,245,0.06648103028193526,0.9335189697180648,2873,10391.07718120805,2950.424623115578,10156.69,5015.580291970803,5799.679104477612,5636.46411764706,5639.004189944135,0.0,9301.16396103896,4119.281818181818,1,Second
50,พญาไท 2 : BDMS,Top,BDMS,Private,260,6687,9,535,0.07105802871275184,0.929183254916154,8289,6936.91531958763,2192.394695787832,11418.02941176471,2963.533076923077,3695.271394374626,8980.261057692307,7543.458949416342,1300.0,8190.924333333332,3121.17593175853,1,Second
51,พญาไท 3 : BDMS,None,BDMS,Private,230,6200,9,412,0.09791477787851316,0.9020852221214868,4412,10889.84783281734,2478.876865671642,14374.95833333334,4387.784172661871,4461.405240174672,9299.647916666667,8960.068897637795,2171.0,7216.674418604651,4199.943620178042,1,Second
52,พญาไท นวมินทร์ : BDMS,None,BDMS,Private,140,4100,9,57,0.06179556937427128,0.9382044306257288,2573,6745.09195402299,2691.196581196581,3138.153846153846,2634.710084033613,3201.797639123103,6988.897058823531,4371.988505747127,0.0,5520.825949367088,3275.768253968254,1,Second
53,พระมงกุฎเกล้า,Top,None,Public,953,2000,9,249,0.1436314363143631,0.8563685636856369,738,11986.16666666666,2629.574468085106,4716.416666666667,2925.316176470588,3996.212142857143,24879.83695652174,3958.942857142857,0.0,1543.367346938776,3806.888888888889,1,Second
54,พระรามเก้า,Top,None,Private,166,7950,9,340,0.04361104324456389,0.956388956755436,8186,5939.503863987636,2751.449675324675,3073.111111111111,2482.416426512968,2418.903585008148,5782.044444444445,5142.04375,0.0,5235.68058968059,2371.603015075377,1,Second
55,ภูมิพลอดุลยเดช กรมแพทย์ทหารอากาศ,None,None,Private,619,2000,9,221,0.08661417322834647,0.9133858267716536,254,1933.5,1220.727272727273,1166.767857142857,3996.525,1027.3,2102.880952380952,2640.0,0.0,1558.666666666667,6034.633333333332,1,Second
56,มงกุฎวัฒนะ,None,None,Private,100,4000,8,411,0.06556968337073049,0.9344303166292696,4011,3840.994014869888,2271.04934065934,4603.988108108109,2596.111571428572,2275.296883821933,5128.172118959107,7291.182611940299,0.0,4432.408586572437,2317.505820224719,1,Second
57,มิชชั่น,None,None,Private,120,4000,6,107,0.06666666666666668,0.9333333333333332,705,2782.333333333333,1592.104651162791,1200.0,12040.46153846154,10519.74045801527,9504.9,11481.53125,0.0,3306.0,5071.13888888889,1,Second
58,มิตรประชา,None,None,Private,148,1800,9,55,0.06578947368421052,0.9342105263157896,76,1852.3,1000.0,950.0,1232.0,9951.533333333333,1143.333333333333,890.0,0.0,1243.333333333333,2835.5,1,Second
59,รัชดา-ท่าพระ,None,None,Public,25,4000,8,10,0.1,0.9,40,928.0,0.0,0.0,650.0,1493.75,3609.0,675.0,0.0,653.3333333333334,0.0,1,Second
60,ราชวิถี,Top,None,Private,1031,4300,9,347,0.324,0.6759999999999999,250,3633.333333333334,1228.939393939394,3940.0,10342.53333333333,4989.583333333333,10466.84782608696,2182.294117647059,0.0,4725.727272727273,780.0,1,Second
61,รามคำแหง,Top,RAM,Public,486,3500,9,327,0.07943777637397346,0.9205622236260266,6332,7539.862697368421,3057.413321678322,4839.488131868132,3206.788384615385,3997.055346869713,8995.05429906542,5041.500483870968,1250.0,5251.019877675841,3600.706040462427,1,Second
63,ราษฎร์บูรณะ,None,None,Public,124,3950,9,46,0.1182608695652174,0.8817391304347826,575,5658.642857142857,2987.024390243902,933.0,8118.056074766355,5776.379746835443,10363.8,2670.734693877551,0.0,4960.536585365854,4062.348837209303,1,Second
64,ลาดพร้าว,None,None,Private,180,4700,8,206,0.06286337209302326,0.9372577519379846,8256,6319.916856540083,2300.5309375,7167.791779661017,3047.733063063063,2783.05737876802,7412.692765598652,6130.034960422165,0.0,2541.844058171745,4058.524672131148,1,Second
66,วิชัยเวช แยกไฟฉาย,None,Vichaivej,Private,49,3250,9,7,0.099009900990099,0.9009900990099008,202,848.6666666666665,880.0,530.0,8976.591666666667,1155.787878787879,1320.909090909091,8303.666666666666,0.0,739.4285714285713,6851.041666666668,1,Second
67,วิชัยเวชอินเตอร์เนชั่นแนลหนองแขม(ศรีวิชัย2),None,Vichaivej,Private,172,4200,8,137,0.1222910216718266,0.8792569659442725,646,7042.282608695652,1126.770833333333,3318.0,882.1428571428571,4565.361842105263,9425.745098039217,1154.34375,0.0,5006.113207547171,3264.371428571429,1,Second
68,วิชัยยุทธ,None,None,Private,207,5500,9,716,0.07395418326693227,0.9267928286852588,4016,10691.11065989848,4204.89367816092,8236.547272727274,4257.659471365639,3808.679234899329,12643.13273364486,7812.671034482759,0.0,9575.747687861272,4347.987123893806,1,Second
69,วิภาราม,None,VIBHA,Private,150,2200,9,272,0.05482972799314628,0.9451702720068536,4669,4089.262987012987,4594.938181818182,1767.868421052631,2042.005586592179,3233.57684729064,4954.089552238806,4826.91095890411,0.0,2228.230061349693,5986.444610778443,1,Second
70,วิภาวดี,None,None,Private,258,4360,8,417,0.09191469950963622,0.9080853004903636,8769,9122.581395348838,2877.663066954643,6852.164556962025,2625.438040345821,4672.388574369532,9648.650341685649,4947.125,3809.0,7248.540918163671,6510.464968152866,1,Second
71,วิมุต,None,None,Private,236,5900,7,232,0.04135338345864661,0.9586466165413534,266,8956.182857142858,0.0,980.0,2759.880735294118,912.020625,5614.733333333334,1204.48,0.0,1743.285714285714,2004.675384615384,1,Second
72,ศิครินทร์,None,None,Private,258,5100,9,348,0.08176905574516496,0.9182309442548352,7032,7979.404913043477,2541.45189010989,4360.649275362319,2777.823368421053,3711.878502604168,9385.670026041664,5826.521815718157,1337.25,5127.91899159664,4956.834066666667,1,Second
