ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,ค่าบริการทางการแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 12,กลุ่มที่ 13,กลุ่มที่ 14,กลุ่มที่ 15,กลุ่มที่ 16,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 19,กลุ่มที่ 20,กลุ่มที่ 21
เวชการุณย์รัศมิ์,None,None,Public,90,5000,9,50,140,0.4666666666666667,0.5333333333333333,30,0.0,241.58333333333334,0.0,0.0,0.0,863.75,0.0,1300.0,0.0,1099.4166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.6875,0.0
เวชธานี,None,None,Private,263,5850,8,722,150,0.16024394555418067,0.8397560544458194,10465,9469.750484848486,1864.4831610141594,2813.3172131147544,1338.0245912806538,1724.2428971962615,418.93097222222224,1960.2439024390244,4966.614526034713,1010.1514132029338,2538.613079268292,669.7919862068965,1307.70617196702,1565.3164646464647,0.0,0.0,0.0,2089.1951842751846,1272.9244,2307.0898674242426,1567.6666666666667
เวชศาสตร์เขตร้อน,None,None,Public,106,1700,3,41,100,0.08454106280193237,0.9154589371980676,324,1389.340909090909,442.5692307692308,0.0,822.0,58.5625,2343.4023333333334,0.0,2350.0,336.375,1027.1833333333334,369.04411764705884,494.625,2294.8333333333335,0.0,0.0,0.0,299.6010638297872,160.14285714285714,0.0,195.7
แพทย์ปัญญา,None,None,Private,125,2150,9,22,100,0.4012841091492777,0.5987158908507223,613,84425.33333333333,6135.164444444445,14020.0,0.0,55784.0,1064.8275862068965,260.68333333333334,1749.1466666666668,20107.02564102564,2353.145631067961,214.0,361.6,12491.967741935483,0.0,0.0,0.0,1062.142857142857,496.75,14788.848484848484,54.0
ไทยนครินทร์,None,None,Private,190,6020,9,346,125,0.14349356506434935,0.8565064349356506,17040,7824.689814814815,789.3366890380313,1526.6666666666667,1106.3897280966767,1742.1844660194174,572.186577181208,767.6233766233767,1096.9253393665158,822.2180288461539,2043.2954764196343,710.1989847715736,1038.6094570928196,1320.1166666666666,1904.1904761904761,5468.333333333333,0.0,1001.6642335766423,539.2049180327868,881.137409598948,2150.4246575342468
กรุงเทพ : BDMS,Top,BDMS,Private,263,11300,9,1198,300,0.13215859030837004,0.8678414096916299,19819,6832.9372,2147.7625026303926,5397.52641025641,1635.6554179894179,2266.0486802030455,1531.6828047662693,1203.5190410958903,3717.22225667528,1142.7935527359239,3187.8967417417416,984.3733212472811,2402.5471254779277,2340.4242648592285,16409.925,26267.5,400.0,2220.2803807390815,2553.491714285714,9843.71865277778,1219.7885882352941
กรุงเทพคริสเตียน,Top,None,Private,244,4900,6,319,400,0.15587669716217004,0.84412330283783,15435,5798.735915492958,1516.8196266397579,1808.6462585034014,1119.9260869565217,3693.4814814814813,910.1506849315068,1242.2666666666667,2348.6529411764704,928.1191443271053,2332.258090614887,780.3249669749009,1593.4988412514485,1696.561717352415,8995.4,280.0,797.1428571428571,959.7066666666667,2961.1176470588234,2375.9557195571956,1540.0744680851064
กล้วยน้ำไท 1,None,None,Private,160,6650,8,85,100,0.1376425855513308,0.8623574144486692,2412,2276.574468085106,1660.5602055800293,1757.1764705882354,408.07142857142856,203.1,403.12,437.35,1231.9937888198758,412.39138240574505,1903.6331360946745,1184.9358974358975,364.2110091743119,1801.25,0.0,0.0,0.0,586.9585062240664,3633.0625,1971.3736842105263,442.3076923076923
กลาง,None,None,Public,475,3000,9,116,30,0.3719806763285024,0.6280193236714976,572,952.6875,730.7154377880184,0.0,3148.0,0.0,1329.5093396226414,218.25,2441.5255102040815,401.93518518518516,2609.350543478261,0.0,2409.454081632653,518.5833333333334,0.0,1064.2,0.0,281.75,0.0,286.94736842105266,592.5
การไฟฟ้านครหลวง,None,None,Public,80,0,6,29,0,0.0,1.0,8,0.0,897.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,1370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
คลองตัน,None,None,Private,30,2000,4,21,100,0.6813186813186813,0.31868131868131866,91,17553.333333333332,629.4,0.0,0.0,597.5185185185185,0.0,0.0,0.0,684.7272727272727,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,1588.909090909091,0.0,0.0,0.0
คามิลเลียน,None,None,Private,120,4400,7,146,100,0.05004721435316336,0.9499527856468366,2798,3547.4375,434.4418125643666,500.0,414.9097472924188,614.6923076923077,355.1034482758621,339.9375,351.05263157894734,415.7684478371501,313.8421052631579,336.9873417721519,519.2321899736148,448.7415730337079,0.0,0.0,0.0,389.95238095238096,234.16129032258064,568.5219298245614,651.0921052631579
จุฬาภรณ์,None,None,Public,115,3500,8,445,100,0.31696706028589183,0.6830329397141082,1490,17270.666666666668,2228.1300262812088,3547.5506329113923,653.4285714285714,2941.076923076923,2166.967105263158,125.0,1053.3816964285713,341.25,1242.0691489361702,907.671875,1389.7627118644068,2094.0845070422533,2230.0,0.0,0.0,1017.1650943396227,0.0,400.2317073170732,193.5
จุฬาลงกรณ์,Top,None,Public,1485,3500,9,435,20,0.29867345571486,0.7013265442851401,13673,6826.422535211268,2627.344854132901,3413.9503267973855,1100.1820303383897,2836.986013986014,3303.1360934182594,1038.1666666666667,3222.64875491481,2702.4637146371465,4155.295504385965,778.6754716981133,3676.9872306464486,2576.4638609332114,22095.0,0.0,2195.153846153846,1727.9142091152814,3318.264705882353,1954.6953642384105,978.0697674418604
ซีจีเอชพหลโยธิน,Top,None,Private,120,4430,8,384,150,0.14561664190193166,0.8543833580980683,8260,6822.961538461538,754.8661446681581,1215.4545454545455,1218.4094488188975,590.1538461538462,935.8151658767772,599.1698113207547,929.6692913385826,906.8740774907749,1159.9013452914799,551.4980314960629,687.6237218813906,634.559748427673,0.0,0.0,0.0,1544.4479418886199,752.025,635.7021996615905,405.0
ซีจีเอชสายไหม,None,None,Private,100,3890,8,384,50,0.13697864251369787,0.8630213574863022,8368,3893.4201680672268,950.9913240286684,692.6551724137931,490.2281879194631,1725.8285714285714,567.2448979591836,402.3875,3228.7738693467336,756.5275041050903,1091.2922077922078,301.91333333333336,421.0886956521739,824.1901840490798,0.0,0.0,0.0,595.7590361445783,618.2702702702703,1514.740370898716,579.5
ตากสิน,None,None,Public,418,1800,9,197,50,0.13559322033898305,0.864406779661017,48,5.75,1714.875,4322.75,9070.0,4048.75,0.0,0.0,0.0,137.5,0.0,0.0,1859.090909090909,4313.628888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ตำรวจ,None,None,Public,485,1600,8,363,50,0.6273364485981309,0.3726635514018692,759,2353.0,3274.598323170732,977.8461538461538,2253.8548387096776,4105.25,2950.0416666666665,0.0,767.5593220338983,6380.394736842105,3186.2972972972975,1902.6666666666667,4319.953608247422,3487.525,0.0,0.0,0.0,3007.96,3796.818181818182,23452.933333333334,0.0
ทหารเรือกรุงเทพ,None,None,Public,40,2200,3,10,50,0.9998754631215169,0.00012453687848314082,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11009.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ทหารผ่านศึก,None,None,Public,277,1500,9,101,50,0.36075949367088606,0.6392405063291139,102,0.0,1533.0982142857142,5275.0,0.0,0.0,0.0,0.0,186.42857142857142,4589.083333333333,3505.5,4558.5,2763.1388888888887,0.0,0.0,0.0,0.0,1074.7826086956522,0.0,10237.5,0.0
ทหารอากาศ (สีกัน) พอ.,None,None,Public,150,2000,5,31,50,0.0898876404494382,0.9101123595505618,5817,0.0,33.89099526066351,0.0,17.45398773006135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.180746561886051,0.0,0.0,0.0,0.0,5.193548387096774,38.05172413793103,2.3715880893300247,0.0
ธนบุรี 1,Top,THG,Private,435,5620,9,625,120,0.2230699461132156,0.7769300538867844,16451,8532.381428571429,1776.4654560201877,3809.056060606061,1463.5416040955631,3617.9319444444445,1545.3778280542986,907.8916083916084,3954.4289026275114,622.2932908545727,3884.8726495726496,492.37289636846765,1437.8148567119156,1617.4156583629892,0.0,0.0,0.0,1860.5394325153375,1087.6813186813188,2311.8360486322185,112.94871794871794
ธนบุรี 2,None,THG,Private,95,5350,9,222,140,0.15537560076371057,0.8446243992362894,8906,11533.902846715328,798.9712244423791,977.5217391304348,1738.6352040816328,981.6428571428571,1623.793007518797,1432.826423357664,1549.812244897959,1780.9340134340887,6289.735586419753,828.9054078014185,1364.207178030303,4513.586666666667,128684.5,666.6666666666666,0.0,1411.7060778443115,2577.090238095238,1948.920468187275,2552.4418604651164
ธนบุรี บำรุงเมือง,None,THG,Private,1400,5620,8,86,200,0.21762589928057555,0.7823741007194245,5176,86.50943396226415,1495.1900383141763,0.0,0.0,0.0,22.175732217573223,62.69822485207101,22.679012345679013,43.357358870967744,392.70062695924764,32.37916666666667,52.79099678456592,0.0,0.0,0.0,0.0,152.38149779735681,0.0,217.67588932806325,425.0
นครธน,None,None,Private,150,4500,8,60,150,0.11947614306502259,0.8805238569349774,7935,16972.43350515464,933.7734960458134,720.1729629629629,1113.8618090452258,4771.857777777778,1066.982647975078,1453.3663157894737,6877.902850678736,1581.2374727120066,3716.4028525641024,1057.2624528301885,1306.40109375,4358.422844827586,0.0,0.0,0.0,1822.3850731707316,810.6213513513514,2119.251048543689,2936.0
นพรัตนราชธานี,None,None,Public,609,1400,9,128,150,0.357630979498861,0.642369020501139,286,0.0,1542.0368098159508,1948.6666666666667,1833.3333333333333,0.0,3183.777777777778,0.0,3823.054054054054,2585.0,3059.625,0.0,1151.983606557377,2170.0,0.0,0.0,0.0,1856.9166666666667,300.1666666666667,117.87878787878788,0.0
นวเวช,None,None,Private,99,4000,8,240,100,0.03333333333333333,0.9666666666666667,4222,74.11764705882352,0.0,0.0,6.968641114982578,0.0,56.68235714285714,0.0,0.0,4.749608763693271,8.798045602605864,4.676258992805756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.647509578544061,0.0
นวมินทร์,None,None,Private,180,3000,9,92,100,0.23508771929824562,0.7649122807017544,145,1016.0,1591.5604395604396,0.0,0.0,0.0,0.0,0.0,1590.0,704.3,2290.0,1030.0,233.96428571428572,0.0,0.0,0.0,0.0,1214.7857142857142,0.0,1690.3333333333333,0.0
นวมินทร์ 9,None,None,Private,245,3280,9,179,100,0.19758229192191457,0.8024177080780854,10662,8457.471014492754,999.633398931684,2399.516666666667,542.5412844036697,494.21495327102804,236.29787234042553,403.1333333333333,1784.3976261127596,609.6345609065156,1911.871485943775,311.1598440545809,576.3663133097762,2142.4828897338402,0.0,0.0,0.0,892.4704491725769,451.0,1194.6213786213787,1446.6666666666667
นันอา,None,None,Private,30,0,5,14,0,0.21428571428571427,0.7857142857142857,246,0.0,0.0,0.0,0.0,0.0,4678.52,0.0,0.0,0.0,0.0,45.38461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
บางโพ,None,None,Private,100,3700,9,155,50,0.2784966112138016,0.7215033887861984,5912,15981.266029411767,980.1148846576349,3454.9122807017543,1898.3004733727812,3766.142134831461,2155.5704761904763,2200.3052,4321.1625,2241.839495472186,5466.711219512195,1158.4063018867926,1293.3573138297872,3439.5958757062144,4120.55,0.0,0.0,1352.3346913580247,1339.6875,2100.3762794918325,519.0895522388059
บางไผ่,None,None,Private,100,3530,9,8,100,0.0884450784593438,0.9115549215406562,3401,610.4133333333333,962.0116842105261,0.0,77.93027777777777,0.0,138.6214953271028,0.0,137.98646551724138,23.961821259309406,121.61116666666666,189.83379310344827,113.67454545454545,1219.267857142857,0.0,0.0,0.0,47.44064102564103,45.083333333333336,157.34620462046206,0.0
บางนา 1,None,None,Private,101,2700,7,84,100,0.1529051987767584,0.8470948012232415,1115,724.8846153846154,949.7582417582418,0.0,222.72727272727272,745.0,2343.021739130435,876.7272727272727,735.2121212121212,194.12605042016807,1370.0776699029127,587.3076923076923,174.42857142857142,112.38095238095238,0.0,0.0,0.0,224.88118811881188,0.0,1993.2049689440994,0.0
บางปะกอก 1,None,BHGRT,Private,120,3200,7,171,100,0.1736260775862069,0.8263739224137931,6967,7434.613857142856,1009.7747754259163,2496.915,456.0722727272727,6173.541666666667,299.21491228070175,869.4155263157895,983.7622149837133,1044.018579124579,1121.898321995465,574.2360515021459,444.1746153846154,1149.3427109974425,0.0,0.0,0.0,1257.415257936508,261.64864864864865,866.0013392857143,0.0
บางปะกอก 8,None,BHGRT,Private,200,3200,9,219,80,0.18926553672316385,0.8107344632768362,1124,4403.241379310345,508.47983870967744,818.0,406.4419642857143,300.0,534.1010638297872,1012.4928571428571,973.6851851851852,1023.5214723926381,566.3731884057971,166.88571428571427,380.4349315068493,1143.3275862068965,0.0,0.0,0.0,926.75,250.0,1170.2359813084113,0.0
บางปะกอก 9 อินเตอร์เนชั่นแนล,Top,BHGRT,Private,120,3200,7,285,120,0.14148244473342003,0.85851755526658,4086,10853.7374,1048.3026690211907,1046.2,1688.212643678161,454.5735294117647,582.7137931034483,1412.8651960784314,10486.925294117647,2069.8291042584437,5933.607383720931,1145.13698630137,1582.1663822525597,5661.004237288135,0.0,0.0,0.0,3747.691717791411,1154.8706896551723,2659.753968253968,653.75
บางมด,None,None,Private,203,4000,9,71,200,0.08373904576436222,0.9162609542356378,633,7871.666666666667,616.2567567567568,603.4074074074074,1100.9642857142858,0.0,6254.324153846154,1092.0,2190.657142857143,1121.2407407407406,8212.6,2635.45,4722.139534883721,521.025,0.0,0.0,0.0,899.25,0.0,5977.547619047619,0.0
บ้านแพ้ว สาขาแจ้งวัฒนะ,None,None,Public,10,2300,2,17,50,0.64375,0.35625,3041,0.0,911.25,0.0,64.7452229299363,316.29411764705884,730.718820861678,0.0,0.0,1.088695652173913,1.3363028953229399,0.0,26.085918854415276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.1764705882353
บ้านแพ้วสาขาสาทร,None,None,Public,54,2300,6,47,50,0.038461538461538464,0.9615384615384616,3088,0.0,0.0,0.0,256.7105263157895,0.0,51.196825396825396,0.0,106.83333333333333,0.0,1.5235457063711912,0.0,4.148148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.095238095238095
บำรุงราษฎร์,Top,BH,Private,580,11492,9,1133,300,0.17510572636872784,0.8248942736312721,10259,47967.5723943662,3399.036410881039,16174.271296296296,1620.2253681710215,8573.275833333333,6110.491905882353,1355.3207443365695,6732.994739229025,705.6288797610157,4140.776014669927,953.9184868421052,1072.633723628692,2696.9086206896554,118301.0,330.0,0.0,2267.3663356164384,14830.922166666667,1015.3704460966544,2698.7083333333335
บีเอ็นเอช : BDMS,None,BDMS,Private,86,8800,9,291,350,0.14528502301428065,0.8547149769857193,4864,11674.850340909094,1617.0382721382284,5006.068852459017,2931.7872656249997,6621.298333333333,2598.405949367089,993.1777777777778,15373.656666666666,3385.97996941896,4997.364341637011,1709.209393939394,7302.953068965518,6771.503488372094,76385.0,2186.28125,0.0,5264.860616438357,2708.289166666667,2115.6557068062825,4262.2395
